experiment,method,byz_ratio,seed,param_name,param_value,asr,fpr,balanced_accuracy,tn,fp,fn,tp,elapsed_s
exp5_gamma,acccs_gm,0.4,42,gamma,2.0,0.022605803232629864,0.7541748967498654,99.61160965000875,5527,42,14,61917,196.7
exp5_gamma,acccs_gm,0.4,123,gamma,2.0,0.022605803232629864,1.5083497934997308,99.23452220163381,5485,84,14,61917,190.5
exp5_gamma,acccs_gm,0.4,456,gamma,2.0,0.02099110300172773,1.2749147064104867,99.3520470952939,5498,71,13,61918,185.9
exp5_gamma,acccs_gm,0.4,789,gamma,2.0,0.04198220600345546,0.30526126773208834,99.82637826313223,5552,17,26,61905,183.1
exp5_gamma,acccs_gm,0.4,1011,gamma,2.0,0.03067930438714053,0.6464356257855989,99.66144253491363,5533,36,19,61912,184.3
exp5_gamma,acccs_gm,0.4,1415,gamma,2.0,0.043596906234357594,1.1312623451247978,99.41257037432042,5506,63,27,61904,183.5
exp5_gamma,acccs_gm,0.4,1617,gamma,2.0,0.022605803232629864,0.7900879870712875,99.59365310484804,5525,44,14,61917,184.2
exp5_gamma,acccs_gm,0.4,1819,gamma,2.0,0.019376402770825595,2.460046687017418,98.76028845510587,5432,137,12,61919,184.9
exp5_gamma,acccs_gm,0.4,2021,gamma,2.0,0.022605803232629864,1.9213503321960854,99.02802193228564,5462,107,14,61917,185.8
exp5_gamma,acccs_gm,0.4,42,gamma,5.0,0.02583520369443413,0.7003052612677321,99.63692976751892,5530,39,16,61915,186.2
exp5_gamma,acccs_gm,0.4,123,gamma,5.0,0.019376402770825595,1.1851319806069314,99.39774580831113,5503,66,12,61919,186.5
exp5_gamma,acccs_gm,0.4,456,gamma,5.0,0.02099110300172773,1.3108277967319086,99.33409055013317,5496,73,13,61918,183.2
exp5_gamma,acccs_gm,0.4,789,gamma,5.0,0.040367505772553325,0.30526126773208834,99.82718561324768,5552,17,25,61906,186.6
exp5_gamma,acccs_gm,0.4,1011,gamma,5.0,0.03067930438714053,0.6284790806248878,99.670420807494,5534,35,19,61912,189.5
exp5_gamma,acccs_gm,0.4,1415,gamma,5.0,0.037138105310749056,1.0235230741605315,99.46966941026436,5512,57,23,61908,187.0
exp5_gamma,acccs_gm,0.4,1617,gamma,5.0,0.022605803232629864,0.682348716107021,99.64752274033017,5531,38,14,61917,186.2
exp5_gamma,acccs_gm,0.4,1819,gamma,5.0,0.02099110300172773,2.0290896031603523,98.97495964691896,5456,113,13,61918,186.2
exp5_gamma,acccs_gm,0.4,2021,gamma,5.0,0.019376402770825595,2.4420901418567067,98.76926672768623,5433,136,12,61919,185.4
exp5_gamma,acccs_gm,0.4,42,gamma,10.0,0.022605803232629864,0.8439576225534207,99.56671828710697,5522,47,14,61917,186.4
exp5_gamma,acccs_gm,0.4,123,gamma,10.0,0.019376402770825595,1.1851319806069314,99.39774580831113,5503,66,12,61919,187.2
exp5_gamma,acccs_gm,0.4,456,gamma,10.0,0.019376402770825595,1.2569581612497756,99.3618327179897,5499,70,12,61919,187.3
exp5_gamma,acccs_gm,0.4,789,gamma,10.0,0.05328510761977039,0.2873047225713773,99.82970508490442,5553,16,33,61898,185.7
exp5_gamma,acccs_gm,0.4,1011,gamma,10.0,0.03875280554165119,0.6284790806248878,99.66638405691674,5534,35,24,61907,184.6
exp5_gamma,acccs_gm,0.4,1415,gamma,10.0,0.02099110300172773,1.1133057999640867,99.43285154851709,5507,62,13,61918,183.7
exp5_gamma,acccs_gm,0.4,1617,gamma,10.0,0.022605803232629864,0.7541748967498654,99.61160965000875,5527,42,14,61917,182.2
exp5_gamma,acccs_gm,0.4,1819,gamma,10.0,0.02099110300172773,2.2804812354103072,98.84926383079397,5442,127,13,61918,185.7
exp5_gamma,acccs_gm,0.4,2021,gamma,10.0,0.017761702539923464,2.2625246902495957,98.85985680360524,5443,126,11,61920,186.8
exp5_gamma,acccs_gm,0.4,42,gamma,20.0,0.02099110300172773,0.8260010773927096,99.57650390980278,5523,46,13,61918,186.3
exp5_gamma,acccs_gm,0.4,123,gamma,20.0,0.019376402770825595,1.5263063386604416,99.22715862928436,5484,85,12,61919,189.1
exp5_gamma,acccs_gm,0.4,456,gamma,20.0,0.022605803232629864,1.2749147064104867,99.35123974517845,5498,71,14,61917,187.3
exp5_gamma,acccs_gm,0.4,789,gamma,20.0,0.043596906234357594,0.3411743580535105,99.80761436785608,5550,19,27,61904,187.9
exp5_gamma,acccs_gm,0.4,1011,gamma,20.0,0.03552340507984693,0.6464356257855989,99.65902048456728,5533,36,22,61909,187.5
exp5_gamma,acccs_gm,0.4,1415,gamma,20.0,0.019376402770825595,0.8619141677141318,99.55935471475752,5521,48,12,61919,186.6
exp5_gamma,acccs_gm,0.4,1617,gamma,20.0,0.022605803232629864,0.8439576225534207,99.56671828710697,5522,47,14,61917,188.0
exp5_gamma,acccs_gm,0.4,1819,gamma,20.0,0.022605803232629864,2.1188723289639073,98.92926093390173,5451,118,14,61917,187.0
exp5_gamma,acccs_gm,0.4,2021,gamma,20.0,0.017761702539923464,2.6575686837852395,98.6623348068374,5421,148,11,61920,187.7
exp6_decay,acccs_gm,0.4,42,decay,0.9,0.022605803232629864,0.6464356257855989,99.66547928549087,5533,36,14,61917,187.1
exp6_decay,acccs_gm,0.4,123,decay,0.9,0.019376402770825595,1.6340456096247082,99.17328899380223,5478,91,12,61919,185.9
exp6_decay,acccs_gm,0.4,456,decay,0.9,0.012917601847217065,1.382653977374753,99.30221421038901,5492,77,8,61923,185.3
exp6_decay,acccs_gm,0.4,789,decay,0.9,0.05328510761977039,0.21547854192853294,99.86561817522585,5557,12,33,61898,184.7
exp6_decay,acccs_gm,0.4,1011,decay,0.9,0.02744990392533626,0.6643921709463099,99.65407896256417,5532,37,17,61914,185.8
exp6_decay,acccs_gm,0.4,1415,decay,0.9,0.03552340507984693,1.1133057999640867,99.42558539747805,5507,62,22,61909,185.0
exp6_decay,acccs_gm,0.4,1617,decay,0.9,0.02583520369443413,0.5386963548213324,99.71773422074213,5539,30,16,61915,185.4
exp6_decay,acccs_gm,0.4,1819,decay,0.9,0.02099110300172773,2.208655054767463,98.8851769211154,5446,123,13,61918,186.0
exp6_decay,acccs_gm,0.4,2021,decay,0.9,0.017761702539923464,2.5857425031423955,98.69824789715884,5425,144,11,61920,183.9
exp6_decay,acccs_gm,0.4,42,decay,0.95,0.02583520369443413,0.7003052612677321,99.63692976751892,5530,39,16,61915,184.4
exp6_decay,acccs_gm,0.4,123,decay,0.95,0.019376402770825595,1.1851319806069314,99.39774580831113,5503,66,12,61919,189.5
exp6_decay,acccs_gm,0.4,456,decay,0.95,0.02099110300172773,1.3108277967319086,99.33409055013317,5496,73,13,61918,188.1
exp6_decay,acccs_gm,0.4,789,decay,0.95,0.040367505772553325,0.30526126773208834,99.82718561324768,5552,17,25,61906,186.0
