method,byz_ratio,seed,n_byz,byz_ids,asr,fpr,balanced_accuracy,accuracy,precision,recall,f1,tn,fp,fn,tp,elapsed_s
fedavg,0.4,42,4,"[0, 1, 5, 7]",57.310555,2.352307,70.168569,0.472237,0.995069,0.426894,0.597469,5438,131,35493,26438,175.2
cwtm,0.4,42,4,"[0, 1, 5, 7]",24.233421,0.269348,87.748615,0.777437,0.99968,0.757666,0.862008,5554,15,15008,46923,170.9
gm,0.4,42,4,"[0, 1, 5, 7]",7.844214,0.197522,95.979132,0.927867,0.999807,0.921558,0.959089,5558,11,4858,57073,173.2
trust_gm,0.4,42,4,"[0, 1, 5, 7]",0.256737,0.574609,99.584327,0.99717,0.999482,0.997433,0.998456,5537,32,159,61772,173.0
bst_gm,0.4,42,4,"[0, 1, 5, 7]",0.022606,0.502783,99.737305,0.999378,0.999548,0.999774,0.999661,5541,28,14,61917,173.1
fedavg,0.0,123,0,[],0.019376,0.46687,99.756877,0.999437,0.99958,0.999806,0.999693,5543,26,12,61919,170.1
cwtm,0.0,123,0,[],0.022606,0.484827,99.746284,0.999393,0.999564,0.999774,0.999669,5542,27,14,61917,169.6
gm,0.0,123,0,[],0.020991,0.502783,99.738113,0.999393,0.999548,0.99979,0.999669,5541,28,13,61918,172.5
trust_gm,0.0,123,0,[],0.024221,0.448914,99.763433,0.999407,0.999596,0.999758,0.999677,5544,25,15,61916,172.6
bst_gm,0.0,123,0,[],0.019376,0.628479,99.676072,0.999304,0.999435,0.999806,0.999621,5534,35,12,61919,172.9
fedavg,0.2,123,2,"[0, 7]",0.025835,1.310828,99.331668,0.998681,0.998822,0.999742,0.999282,5496,73,16,61915,172.9
cwtm,0.2,123,2,"[0, 7]",0.020991,0.843958,99.567526,0.999111,0.999242,0.99979,0.999516,5522,47,13,61918,181.7
gm,0.2,123,2,"[0, 7]",0.019376,1.274915,99.352854,0.99877,0.998855,0.999806,0.99933,5498,71,12,61919,183.8
trust_gm,0.2,123,2,"[0, 7]",0.017762,0.736218,99.62301,0.99923,0.999338,0.999822,0.99958,5528,41,11,61920,182.0
bst_gm,0.2,123,2,"[0, 7]",0.017762,0.700305,99.640967,0.999259,0.999371,0.999822,0.999596,5530,39,11,61920,173.4
fedavg,0.3,123,3,"[0, 5, 7]",1.624388,1.04148,98.667066,0.984237,0.999049,0.983756,0.991344,5511,58,1006,60925,174.4
cwtm,0.3,123,3,"[0, 5, 7]",0.119488,0.484827,99.697843,0.998504,0.999564,0.998805,0.999184,5542,27,74,61857,179.1
gm,0.3,123,3,"[0, 5, 7]",0.087194,1.418567,99.24712,0.99803,0.998725,0.999128,0.998926,5490,79,54,61877,182.6
trust_gm,0.3,123,3,"[0, 5, 7]",0.011303,0.826001,99.581348,0.999215,0.999258,0.999887,0.999572,5523,46,7,61924,182.4
bst_gm,0.3,123,3,"[0, 5, 7]",0.022606,0.556653,99.710371,0.999333,0.9995,0.999774,0.999637,5538,31,14,61917,182.0
fedavg,0.4,123,4,"[0, 5, 6, 7]",3.657296,2.190699,97.076003,0.964637,0.997959,0.963427,0.980389,5447,122,2265,59666,180.0
cwtm,0.4,123,4,"[0, 5, 6, 7]",0.127561,6.428443,96.721998,0.993526,0.994245,0.998724,0.99648,5211,358,79,61852,179.5
gm,0.4,123,4,"[0, 5, 6, 7]",0.13402,1.45448,99.20575,0.99757,0.998692,0.99866,0.998676,5488,81,83,61848,181.7
trust_gm,0.4,123,4,"[0, 5, 6, 7]",0.019376,0.718262,99.631181,0.99923,0.999354,0.999806,0.99958,5529,40,12,61919,181.7
bst_gm,0.4,123,4,"[0, 5, 6, 7]",0.024221,0.861914,99.556933,0.999067,0.999225,0.999758,0.999492,5521,48,15,61916,181.6
fedavg,0.0,456,0,[],0.022606,0.574609,99.701392,0.999319,0.999483,0.999774,0.999629,5537,32,14,61917,178.9
cwtm,0.0,456,0,[],0.020991,0.682349,99.64833,0.999244,0.999387,0.99979,0.999588,5531,38,13,61918,179.0
gm,0.0,456,0,[],0.020991,0.736218,99.621395,0.9992,0.999338,0.99979,0.999564,5528,41,13,61918,180.8
trust_gm,0.0,456,0,[],0.024221,1.095349,99.440215,0.998874,0.999016,0.999758,0.999387,5508,61,15,61916,180.8
bst_gm,0.0,456,0,[],0.020991,0.700305,99.639352,0.99923,0.999371,0.99979,0.99958,5530,39,13,61918,181.6
fedavg,0.2,456,2,"[0, 6]",0.02745,0.736218,99.618166,0.999141,0.999338,0.999726,0.999532,5528,41,17,61914,178.7
cwtm,0.2,456,2,"[0, 6]",0.029065,0.430957,99.769989,0.999378,0.999613,0.999709,0.999661,5545,24,18,61913,179.0
gm,0.2,456,2,"[0, 6]",0.024221,0.772131,99.601824,0.999141,0.999306,0.999758,0.999532,5526,43,15,61916,181.1
trust_gm,0.2,456,2,"[0, 6]",0.02745,1.203089,99.384731,0.998756,0.998919,0.999726,0.999322,5502,67,17,61914,181.5
bst_gm,0.2,456,2,"[0, 6]",0.022606,0.826001,99.575697,0.999111,0.999258,0.999774,0.999516,5523,46,14,61917,180.7
fedavg,0.3,456,3,"[0, 6, 7]",0.083964,1.885437,99.015299,0.997674,0.998306,0.99916,0.998733,5464,105,52,61879,178.7
cwtm,0.3,456,3,"[0, 6, 7]",0.05167,0.915784,99.516273,0.99877,0.999177,0.999483,0.99933,5518,51,32,61899,179.0
gm,0.3,456,3,"[0, 6, 7]",0.020991,1.544263,99.217373,0.998533,0.998613,0.99979,0.999201,5483,86,13,61918,181.5
trust_gm,0.3,456,3,"[0, 6, 7]",0.025835,1.45448,99.259842,0.998563,0.998693,0.999742,0.999217,5488,81,16,61915,181.9
bst_gm,0.3,456,3,"[0, 6, 7]",0.020991,1.239002,99.370004,0.998785,0.998887,0.99979,0.999338,5500,69,13,61918,181.8
fedavg,0.4,456,4,"[0, 6, 7, 8]",4.994268,13.449452,90.77814,0.943081,0.98743,0.950057,0.968383,4820,749,3093,58838,179.5
cwtm,0.4,456,4,"[0, 6, 7, 8]",0.276114,9.570839,95.076524,0.98957,0.991444,0.997239,0.994333,5036,533,171,61760,179.7
gm,0.4,456,4,"[0, 6, 7, 8]",0.32294,7.775184,95.950938,0.990622,0.993035,0.996771,0.994899,5136,433,200,61731,182.8
trust_gm,0.4,456,4,"[0, 6, 7, 8]",0.087194,2.047046,98.93288,0.997511,0.998161,0.999128,0.998644,5455,114,54,61877,182.1
bst_gm,0.4,456,4,"[0, 6, 7, 8]",0.029065,1.113306,99.428815,0.998815,0.999,0.999709,0.999354,5507,62,18,61913,180.5
fedavg,0.0,789,0,[],0.022606,0.556653,99.710371,0.999333,0.9995,0.999774,0.999637,5538,31,14,61917,178.2
cwtm,0.0,789,0,[],0.022606,0.538696,99.719349,0.999348,0.999516,0.999774,0.999645,5539,30,14,61917,178.5
gm,0.0,789,0,[],0.022606,0.574609,99.701392,0.999319,0.999483,0.999774,0.999629,5537,32,14,61917,181.3
trust_gm,0.0,789,0,[],0.022606,0.682349,99.647523,0.99923,0.999387,0.999774,0.99958,5531,38,14,61917,181.8
bst_gm,0.0,789,0,[],0.022606,0.592566,99.692414,0.999304,0.999467,0.999774,0.999621,5536,33,14,61917,181.2
fedavg,0.2,789,2,"[4, 8]",0.26804,0.502783,99.614588,0.997126,0.999547,0.99732,0.998432,5541,28,166,61765,179.3
cwtm,0.2,789,2,"[4, 8]",0.061359,0.359131,99.789755,0.999141,0.999677,0.999386,0.999532,5549,20,38,61893,180.1
gm,0.2,789,2,"[4, 8]",0.025835,0.52074,99.726712,0.999333,0.999532,0.999742,0.999637,5540,29,16,61915,183.3
trust_gm,0.2,789,2,"[4, 8]",0.025835,0.682349,99.645908,0.9992,0.999387,0.999742,0.999564,5531,38,16,61915,182.1
bst_gm,0.2,789,2,"[4, 8]",0.022606,0.359131,99.809132,0.999496,0.999677,0.999774,0.999726,5549,20,14,61917,181.9
fedavg,0.3,789,3,"[4, 5, 8]",4.693934,3.070569,96.117749,0.9544,0.997111,0.953061,0.974588,5398,171,2907,59024,179.0
cwtm,0.3,789,3,"[4, 5, 8]",0.515089,0.861914,99.311498,0.994563,0.999222,0.994849,0.997031,5521,48,319,61612,180.2
gm,0.3,789,3,"[4, 5, 8]",0.387528,1.185132,99.21367,0.995467,0.998931,0.996125,0.997526,5503,66,240,61691,182.5
trust_gm,0.3,789,3,"[4, 5, 8]",0.058129,0.646436,99.647718,0.998933,0.999419,0.999419,0.999419,5533,36,36,61895,182.1
bst_gm,0.3,789,3,"[4, 5, 8]",0.024221,0.46687,99.754455,0.999393,0.99958,0.999758,0.999669,5543,26,15,61916,177.4
fedavg,0.4,789,4,"[0, 4, 5, 8]",50.556264,5.189442,72.127147,0.531867,0.99065,0.494437,0.659644,5280,289,31310,30621,171.6
cwtm,0.4,789,4,"[0, 4, 5, 8]",21.160647,0.251392,89.293981,0.805644,0.999713,0.788394,0.881566,5555,14,13105,48826,171.7
gm,0.4,789,4,"[0, 4, 5, 8]",2.877396,1.256958,97.932823,0.972563,0.998838,0.971226,0.984838,5499,70,1782,60149,174.7
trust_gm,0.4,789,4,"[0, 4, 5, 8]",0.080735,0.430957,99.744154,0.998904,0.999612,0.999193,0.999402,5545,24,50,61881,179.1
bst_gm,0.4,789,4,"[0, 4, 5, 8]",0.02745,0.287305,99.842623,0.999511,0.999742,0.999726,0.999734,5553,16,17,61914,179.3
fedavg,0.0,1011,0,[],0.022606,0.52074,99.728327,0.999363,0.999532,0.999774,0.999653,5540,29,14,61917,178.2
cwtm,0.0,1011,0,[],0.022606,0.538696,99.719349,0.999348,0.999516,0.999774,0.999645,5539,30,14,61917,179.0
gm,0.0,1011,0,[],0.022606,0.664392,99.656501,0.999244,0.999403,0.999774,0.999588,5532,37,14,61917,181.8
trust_gm,0.0,1011,0,[],0.022606,1.167175,99.405109,0.99883,0.998951,0.999774,0.999362,5504,65,14,61917,180.7
bst_gm,0.0,1011,0,[],0.022606,0.682349,99.647523,0.99923,0.999387,0.999774,0.99958,5531,38,14,61917,179.7
